Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,Exp Type,ExpectedValue,KellyCriterion
GOOG,108.56,1.44,+56.25%,2.56,113.44,106.56,41.93%,0.5710000000000001,2023-05-12,104.00P,0.29,108.00P,1.33,112.00C,0.5,116.00C,0.1,weekly,-0.2759999999999998,-0.19166666666666654
NFLX,332.78,3.57,+90.84%,3.93,343.57,328.93,35.87%,0.485,2023-05-12,325.00P,1.54,332.50P,3.9,340.00C,1.72,347.50C,0.51,weekly,-0.2925000000000002,-0.08193277310924374
AMD,94.88,1.51,+60.64%,2.49,99.51,92.49,52.31%,0.542,2023-05-12,90.00P,0.29,94.00P,1.29,98.00C,0.76,102.00C,0.25,weekly,-0.3219999999999999,-0.21324503311258267
AMD,94.88,1.45,+56.86%,2.55,97.45,90.55,52.31%,0.555,2023-05-12,88.00P,0.13,92.00P,0.63,96.00C,1.38,100.00C,0.43,weekly,-0.3299999999999996,-0.2275862068965516
ZS,110.96,2.6,+108.33%,2.4,117.6,107.4,50.36%,0.412,2023-05-19,105.00P,1.48,110.00P,3.0,115.00C,2.09,120.00C,1.01,monthly,-0.3399999999999996,-0.1307692307692308
AMD,94.88,1.44,+56.25%,2.56,98.44,91.56,52.31%,0.5539999999999999,2023-05-12,89.00P,0.19,93.00P,0.92,97.00C,1.03,101.00C,0.32,weekly,-0.3440000000000002,-0.23888888888888904
GOOGL,108.11,1.96,+64.47%,3.04,114.96,106.04,31.00%,0.5379999999999999,2023-05-19,103.00P,0.58,108.00P,2.07,113.00C,0.61,118.00C,0.14,monthly,-0.3500000000000003,-0.17857142857142874
AMD,94.88,2.32,+63.04%,3.68,101.32,90.68,44.95%,0.5379999999999999,2023-05-19,87.00P,0.46,93.00P,1.85,99.00C,1.36,105.00C,0.43,monthly,-0.4520000000000006,-0.19482758620689686
AMD,94.88,2.27,+60.86%,3.73,100.27,89.73,44.95%,0.544,2023-05-19,86.00P,0.36,92.00P,1.49,98.00C,1.66,104.00C,0.52,monthly,-0.4659999999999997,-0.20528634361233475
SHOP,62.98,1.97,+48.88%,4.03,70.97,61.03,50.74%,0.5870000000000001,2023-05-19,57.00P,0.41,63.00P,2.05,69.00C,0.42,75.00C,0.09,monthly,-0.5079999999999998,-0.25786802030456835
