Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,Exp Type,ExpectedValue,KellyCriterion
RIVN,13.31,0.84,+127.27%,0.66,15.34,12.16,145.81%,0.432,2023-05-12,11.50P,0.37,13.00P,0.92,14.50C,0.58,16.00C,0.29,weekly,-0.0119999999999999,-0.014285714285714377
PYPL,74.69,2.22,+124.72%,1.78,80.22,71.78,67.75%,0.441,2023-05-12,70.00P,1.17,74.00P,2.6,78.00C,1.31,82.00C,0.52,weekly,-0.0159999999999997,-0.007207207207207063
TSLA,168.57,4.4,+141.94%,3.1,179.4,163.1,44.49%,0.41,2023-05-19,160.00P,2.8,167.50P,5.5,175.00C,3.05,182.50C,1.35,monthly,-0.0250000000000003,-0.005681818181818255
AMD,88.4,1.58,+111.27%,1.42,90.58,84.42,40.67%,0.461,2023-05-12,83.00P,0.33,86.00P,0.89,89.00C,1.87,92.00C,0.85,weekly,-0.0369999999999998,-0.02341772151898721
AMD,88.4,1.6,+114.29%,1.4,92.6,86.4,40.67%,0.4529999999999999,2023-05-12,85.00P,0.65,88.00P,1.63,91.00C,1.11,94.00C,0.49,weekly,-0.041,-0.025625000000000158
AMD,88.4,1.57,+109.79%,1.43,91.57,85.43,40.67%,0.462,2023-05-12,84.00P,0.46,87.00P,1.22,90.00C,1.45,93.00C,0.64,weekly,-0.0439999999999999,-0.02802547770700637
AMD,88.4,2.22,+124.72%,1.78,94.22,85.78,40.99%,0.433,2023-05-19,84.00P,1.05,88.00P,2.41,92.00C,1.57,96.00C,0.71,monthly,-0.0479999999999997,-0.021621621621621546
AMD,88.4,2.18,+119.78%,1.82,93.18,84.82,40.99%,0.441,2023-05-19,83.00P,0.84,87.00P,1.99,91.00C,1.9,95.00C,0.87,monthly,-0.0559999999999998,-0.025688073394495414
MSFT,309.36,2.77,+124.22%,2.23,315.27,304.73,21.40%,0.433,2023-05-12,302.50P,1.36,307.50P,2.72,312.50C,2.26,317.50C,0.85,weekly,-0.0649999999999997,-0.02346570397111911
SHOP,61.38,1.52,+102.70%,1.48,63.52,57.48,56.32%,0.47,2023-05-12,56.00P,0.38,59.00P,0.92,62.00C,1.68,65.00C,0.7,weekly,-0.07,-0.04605263157894744
GME,20.37,0.62,+98.41%,0.63,21.87,19.38,54.68%,0.426,2023-05-19,18.75P,0.3,20.00P,0.76,21.25C,0.49,22.50C,0.33,monthly,-0.0975,-0.15725806451612917
PYPL,74.69,2.39,+91.57%,2.61,81.39,71.61,67.75%,0.493,2023-05-12,69.00P,0.93,74.00P,2.6,79.00C,1.04,84.00C,0.32,weekly,-0.1449999999999998,-0.06066945606694557
AMD,88.4,2.33,+87.27%,2.67,92.33,82.67,40.99%,0.504,2023-05-19,80.00P,0.4,85.00P,1.3,90.00C,2.3,95.00C,0.87,monthly,-0.1499999999999999,-0.06437768240343344
AMD,88.4,1.71,+74.67%,2.29,90.71,83.29,40.67%,0.531,2023-05-12,81.00P,0.16,85.00P,0.64,89.00C,1.87,93.00C,0.64,weekly,-0.1659999999999999,-0.09707602339181284
AAPL,173.84,2.43,+94.55%,2.57,179.93,170.07,22.20%,0.479,2023-05-19,167.50P,1.05,172.50P,2.45,177.50C,1.37,182.50C,0.34,monthly,-0.175,-0.07201646090534977
AAPL,173.84,2.0,+66.67%,3.0,177.0,168.0,23.46%,0.564,2023-05-12,165.00P,0.3,170.00P,0.97,175.00C,1.61,180.00C,0.28,weekly,-0.1800000000000003,-0.09000000000000016
AMD,88.4,2.3,+85.19%,2.7,93.3,83.7,40.99%,0.501,2023-05-19,81.00P,0.51,86.00P,1.62,91.00C,1.9,96.00C,0.71,monthly,-0.1950000000000002,-0.08478260869565227
AMD,88.4,2.32,+86.57%,2.68,94.32,84.68,40.99%,0.494,2023-05-19,82.00P,0.66,87.00P,1.99,92.00C,1.57,97.00C,0.58,monthly,-0.2100000000000002,-0.0905172413793105
AMD,88.4,1.72,+75.44%,2.28,93.72,86.28,40.67%,0.517,2023-05-12,84.00P,0.46,88.00P,1.63,92.00C,0.84,96.00C,0.29,weekly,-0.2119999999999997,-0.12325581395348831
COIN,57.0,3.1,+106.90%,2.9,62.1,49.9,94.44%,0.442,2023-05-19,47.00P,1.11,53.00P,2.62,59.00C,3.0,65.00C,1.41,monthly,-0.248,-0.07999999999999997
AMD,88.4,1.62,+68.07%,2.38,91.62,84.38,40.67%,0.5329999999999999,2023-05-12,82.00P,0.23,86.00P,0.89,90.00C,1.45,94.00C,0.49,weekly,-0.2480000000000002,-0.1530864197530866
AMD,88.4,1.63,+68.78%,2.37,92.63,85.37,40.67%,0.529,2023-05-12,83.00P,0.33,87.00P,1.22,91.00C,1.11,95.00C,0.37,weekly,-0.2540000000000001,-0.1558282208588957
AAPL,173.84,2.81,+59.91%,4.69,177.81,164.69,22.20%,0.591,2023-05-19,160.00P,0.29,167.50P,1.04,175.00C,2.4,182.50C,0.34,monthly,-0.2575000000000003,-0.09163701067615662
COIN,57.0,2.35,+88.68%,2.65,62.35,52.65,96.08%,0.475,2023-05-12,50.00P,0.9,55.00P,2.29,60.00C,1.6,65.00C,0.64,weekly,-0.2750000000000001,-0.11702127659574471
NVDA,284.22,4.75,+90.48%,5.25,294.75,275.25,36.90%,0.497,2023-05-12,270.00P,1.42,280.00P,3.85,290.00C,3.35,300.00C,1.03,weekly,-0.2799999999999989,-0.058947368421052644
TSLA,168.57,3.33,+79.86%,4.17,175.83,161.67,43.23%,0.517,2023-05-12,157.50P,0.91,165.00P,2.7,172.50C,2.18,180.00C,0.64,weekly,-0.2925,-0.08783783783783777
TSLA,168.57,3.42,+83.82%,4.08,178.42,164.08,43.23%,0.503,2023-05-12,160.00P,1.33,167.50P,3.7,175.00C,1.47,182.50C,0.42,weekly,-0.3075000000000003,-0.0899122807017544
NVDA,284.22,4.82,+93.05%,5.18,297.32,277.68,36.90%,0.487,2023-05-12,272.50P,1.85,282.50P,4.85,292.50C,2.56,302.50C,0.74,weekly,-0.3099999999999987,-0.06431535269709536
TSLA,168.57,4.89,+95.69%,5.11,182.39,162.61,44.49%,0.477,2023-05-19,157.50P,2.19,167.50P,5.5,177.50C,2.34,187.50C,0.76,monthly,-0.3399999999999994,-0.06952965235173836
TSLA,168.57,4.74,+90.11%,5.26,179.74,160.26,44.49%,0.488,2023-05-19,155.00P,1.7,165.00P,4.4,175.00C,3.05,185.00C,1.01,monthly,-0.3799999999999999,-0.08016877637130802
AMD,88.4,2.47,+69.97%,3.53,96.47,85.53,40.99%,0.521,2023-05-19,82.00P,0.66,88.00P,2.41,94.00C,1.05,100.00C,0.33,monthly,-0.4039999999999997,-0.16356275303643705
AMD,88.4,1.75,+53.85%,3.25,94.75,86.25,40.67%,0.56,2023-05-12,83.00P,0.33,88.00P,1.63,93.00C,0.63,98.00C,0.18,weekly,-0.4499999999999996,-0.25714285714285706
AAPL,173.84,1.81,+56.74%,3.19,179.31,170.69,23.46%,0.5429999999999999,2023-05-12,167.50P,0.54,172.50P,1.74,177.50C,0.72,182.50C,0.11,weekly,-0.4750000000000003,-0.2624309392265194
AMD,88.4,1.6,+47.06%,3.4,93.6,85.4,40.67%,0.575,2023-05-12,82.00P,0.23,87.00P,1.22,92.00C,0.84,97.00C,0.23,weekly,-0.5250000000000001,-0.3281250000000001
AMD,88.4,1.55,+44.93%,3.45,92.55,84.45,40.67%,0.584,2023-05-12,81.00P,0.16,86.00P,0.89,91.00C,1.11,96.00C,0.29,weekly,-0.5300000000000002,-0.34193548387096784
AMD,88.4,2.36,+50.86%,4.64,96.36,84.64,40.99%,0.564,2023-05-19,80.00P,0.4,87.00P,1.99,94.00C,1.05,101.00C,0.28,monthly,-0.6920000000000002,-0.29322033898305105
AMD,88.4,1.75,+41.18%,4.25,95.75,86.25,40.67%,0.591,2023-05-12,82.00P,0.23,88.00P,1.63,94.00C,0.47,100.00C,0.12,weekly,-0.7040000000000002,-0.4022857142857144
AMD,88.4,2.27,+47.99%,4.73,95.27,83.73,40.99%,0.575,2023-05-19,79.00P,0.31,86.00P,1.62,93.00C,1.29,100.00C,0.33,monthly,-0.7050000000000007,-0.3105726872246698
AAPL,173.84,2.39,+46.77%,5.11,179.89,167.61,22.20%,0.584,2023-05-19,162.50P,0.44,170.00P,1.62,177.50C,1.37,185.00C,0.16,monthly,-0.7300000000000006,-0.3054393305439332
TSLA,168.57,3.57,+55.52%,6.43,181.07,163.93,43.23%,0.563,2023-05-12,157.50P,0.91,167.50P,3.7,177.50C,0.97,187.50C,0.19,weekly,-0.8000000000000007,-0.22408963585434188
AAPL,173.84,1.91,+34.17%,5.59,176.91,165.59,23.46%,0.638,2023-05-12,160.00P,0.12,167.50P,0.53,175.00C,1.61,182.50C,0.11,weekly,-0.8049999999999999,-0.42146596858638735
AMD,88.4,1.54,+34.53%,4.46,94.54,85.46,40.67%,0.609,2023-05-12,81.00P,0.16,87.00P,1.22,93.00C,0.63,99.00C,0.15,weekly,-0.8059999999999999,-0.5233766233766234
NVDA,284.22,4.82,+62.76%,7.68,297.32,275.18,36.90%,0.5479999999999999,2023-05-12,267.50P,1.07,280.00P,3.85,292.50C,2.56,305.00C,0.52,weekly,-0.8300000000000005,-0.17219917012448144
NVDA,284.22,4.97,+66.00%,7.53,299.97,277.53,36.90%,0.534,2023-05-12,270.00P,1.42,282.50P,4.85,295.00C,1.91,307.50C,0.37,weekly,-0.8549999999999995,-0.17203219315895366
TSLA,168.57,3.28,+48.81%,6.72,178.28,161.72,43.23%,0.581,2023-05-12,155.00P,0.61,165.00P,2.7,175.00C,1.47,185.00C,0.28,weekly,-0.91,-0.27743902439024404
AAPL,173.84,2.4,+47.06%,5.1,182.4,170.1,22.20%,0.557,2023-05-19,165.00P,0.67,172.50P,2.45,180.00C,0.7,187.50C,0.08,monthly,-0.9224999999999997,-0.3843749999999998
AMD,88.4,1.74,+33.08%,5.26,96.74,86.26,40.67%,0.614,2023-05-12,81.00P,0.16,88.00P,1.63,95.00C,0.36,102.00C,0.09,weekly,-0.962,-0.5528735632183909
AMD,88.4,2.54,+39.32%,6.46,99.54,85.46,40.99%,0.594,2023-05-19,79.00P,0.31,88.00P,2.41,97.00C,0.57,106.00C,0.13,monthly,-1.114,-0.4385826771653545
AMD,88.4,2.29,+34.13%,6.71,98.29,84.71,40.99%,0.609,2023-05-19,78.00P,0.25,87.00P,1.99,96.00C,0.7,105.00C,0.15,monthly,-1.2290000000000003,-0.5366812227074237
AMD,88.4,1.73,+27.59%,6.27,97.73,86.27,40.67%,0.63,2023-05-12,80.00P,0.12,88.00P,1.63,96.00C,0.28,104.00C,0.06,weekly,-1.2299999999999995,-0.7109826589595375
TSLA,168.57,3.62,+40.77%,8.88,183.62,163.88,43.23%,0.605,2023-05-12,155.00P,0.61,167.50P,3.7,180.00C,0.63,192.50C,0.1,weekly,-1.3175000000000003,-0.363950276243094
TSLA,168.57,3.12,+33.26%,9.38,180.62,161.88,43.23%,0.626,2023-05-12,152.50P,0.41,165.00P,2.7,177.50C,0.97,190.00C,0.14,weekly,-1.5550000000000004,-0.49839743589743585
TSLA,168.57,3.64,+32.04%,11.36,186.14,163.86,43.23%,0.633,2023-05-12,152.50P,0.41,167.50P,3.7,182.50C,0.41,197.50C,0.06,weekly,-1.8649999999999995,-0.5123626373626373
Downloaded from Barchart.com as of 05-05-2023 11:05am CDT,,,,,,,,,,,,,,,,,,,,
