Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue
MA,372.43,1.27,+34.05%,3.73,376.27,0.677,2023-04-21,375.0,2.05,380.0,0.78,monthly,-34.499999999999986
BRK.B,319.74,1.57,+45.77%,3.43,321.57,0.617,2023-04-21,320.0,2.31,325.0,0.74,monthly,-34.5
SNOW,142.13,1.05,+26.58%,3.95,156.05,0.721,2023-05-19,155.0,4.15,160.0,3.1,monthly,-34.500000000000014
DKS,139.44,1.15,+40.35%,2.85,141.15,0.625,2023-04-21,140.0,1.8,144.0,0.65,monthly,-35.000000000000014
SCHW,50.77,1.34,+36.61%,3.66,53.34,0.6609999999999999,2023-04-21,52.0,1.8,57.0,0.46,monthly,-35.50000000000004
TSLA,185.0,1.72,+29.76%,5.78,196.72,0.723,2023-04-21,195.0,3.75,202.5,2.03,monthly,-35.75000000000003
SCHW,50.77,1.1,+32.35%,3.4,53.6,0.6759999999999999,2023-04-21,52.5,1.56,57.0,0.46,monthly,-35.800000000000026
WAL,31.66,0.85,+39.53%,2.15,32.85,0.597,2023-04-21,32.0,1.6,35.0,0.75,monthly,-35.90000000000001
PYPL,76.53,2.43,+47.93%,5.07,79.93,0.628,2023-05-19,77.5,3.65,85.0,1.22,monthly,-35.99999999999997
DIS,99.9,1.1,+37.93%,2.9,101.1,0.635,2023-04-21,100.0,1.34,104.0,0.24,monthly,-35.999999999999986
TSLA,185.0,3.85,+62.60%,6.15,188.85,0.579,2023-04-21,185.0,7.7,195.0,3.85,monthly,-36.00000000000003
AI,21.89,0.7,+38.89%,1.8,23.2,0.575,2023-05-19,22.5,2.3,25.0,1.6,monthly,-36.250000000000014
RBLX,45.7,1.08,+36.99%,2.92,47.08,0.638,2023-04-21,46.0,1.39,50.0,0.31,monthly,-36.8
TSLA,185.0,2.33,+38.83%,6.0,194.0,0.6759999999999999,2023-04-21,191.67,4.85,200.0,2.52,monthly,-36.89200000000005
RTX,101.68,0.63,+26.58%,2.37,102.63,0.667,2023-04-21,102.0,0.71,105.0,0.08,monthly,-36.89999999999999
SCHW,50.77,0.99,+28.21%,3.51,53.99,0.698,2023-04-21,53.0,1.4,57.5,0.41,monthly,-36.90000000000002
MSFT,286.14,5.0,+50.00%,10.0,295.0,0.642,2023-05-19,290.0,8.0,305.0,3.0,monthly,-37.0
MSFT,286.14,2.8,+38.89%,7.2,297.8,0.6829999999999999,2023-05-19,295.0,5.8,305.0,3.0,monthly,-37.00000000000006
COIN,69.91,0.9,+29.03%,3.1,73.9,0.682,2023-04-21,73.0,1.95,77.0,1.05,monthly,-37.19999999999998
SHOP,46.39,0.89,+34.10%,2.61,47.39,0.639,2023-04-21,46.5,1.06,50.0,0.17,monthly,-37.35
ABNB,114.65,1.48,+42.05%,3.52,116.48,0.629,2023-04-21,115.0,1.98,120.0,0.5,monthly,-37.499999999999986
MRNA,157.1,1.44,+40.45%,3.56,161.44,0.637,2023-04-21,160.0,3.55,165.0,2.11,monthly,-37.5
NFLX,338.63,4.05,+68.07%,5.95,344.05,0.557,2023-04-21,340.0,14.2,350.0,10.15,monthly,-37.99999999999997
HD,292.19,2.37,+46.20%,5.13,294.87,0.633,2023-04-21,292.5,2.98,300.0,0.61,monthly,-38.24999999999997
TSLA,185.0,6.05,+67.60%,8.95,191.05,0.5710000000000001,2023-05-19,185.0,13.6,200.0,7.55,monthly,-38.49999999999983
XOM,116.05,1.07,+27.23%,3.93,121.07,0.7090000000000001,2023-05-19,120.0,1.7,125.0,0.63,monthly,-38.49999999999996
NCLH,12.64,0.62,+26.05%,2.38,13.62,0.665,2023-05-19,13.0,0.72,16.0,0.1,monthly,-38.499999999999986
UAL,41.67,0.86,+32.58%,2.64,42.86,0.644,2023-04-21,42.0,1.1,45.5,0.24,monthly,-38.599999999999994
ROKU,61.72,0.97,+32.01%,3.03,63.97,0.6609999999999999,2023-04-21,63.0,1.54,67.0,0.57,monthly,-38.60000000000004
MMM,105.77,1.14,+29.53%,3.86,111.14,0.6940000000000001,2023-05-19,110.0,2.0,115.0,0.86,monthly,-38.99999999999997
NEM,49.52,1.46,+41.24%,3.54,51.46,0.63,2023-05-19,50.0,2.08,55.0,0.62,monthly,-38.999999999999986
CRM,194.65,1.52,+43.68%,3.48,196.52,0.618,2023-04-21,195.0,2.24,200.0,0.72,monthly,-39.000000000000014
META,221.49,2.75,+37.93%,7.25,237.75,0.6859999999999999,2023-05-19,235.0,7.45,245.0,4.7,monthly,-39.00000000000006
CVX,172.44,1.43,+40.06%,3.57,173.93,0.635,2023-04-21,172.5,1.66,177.5,0.23,monthly,-39.5
AMD,91.75,1.42,+39.66%,3.58,93.42,0.637,2023-04-21,92.0,1.77,97.0,0.35,monthly,-39.5
CVS,74.7,1.54,+44.51%,3.46,76.54,0.613,2023-05-19,75.0,2.18,80.0,0.64,monthly,-39.500000000000014
GOOGL,108.87,0.82,+25.79%,3.18,110.82,0.696,2023-04-21,110.0,1.02,114.0,0.2,monthly,-39.600000000000016
AA,40.4,0.72,+25.90%,2.78,42.22,0.6809999999999999,2023-04-21,41.5,1.03,45.0,0.31,monthly,-39.65000000000002
NVDA,267.58,1.86,+32.98%,5.64,274.36,0.6990000000000001,2023-04-21,272.5,3.0,280.0,1.14,monthly,-39.74999999999994
UNH,511.79,6.06,+43.47%,13.94,526.06,0.677,2023-05-19,520.0,9.0,540.0,2.94,monthly,-39.99999999999994
SQ,64.04,0.9,+29.03%,3.1,65.9,0.675,2023-04-21,65.0,1.19,69.0,0.29,monthly,-39.99999999999998
NFLX,338.63,2.7,+36.99%,7.3,357.7,0.69,2023-04-21,355.0,8.15,365.0,5.45,monthly,-40.00000000000006
COIN,69.91,1.49,+42.45%,3.51,72.49,0.621,2023-04-21,71.0,2.73,76.0,1.24,monthly,-40.5
NFLX,338.63,5.25,+53.85%,9.75,355.25,0.623,2023-05-19,350.0,15.95,365.0,10.7,monthly,-40.5
MS,86.71,1.01,+28.94%,3.49,89.01,0.685,2023-04-21,88.0,1.24,92.5,0.23,monthly,-40.749999999999986
BA,201.71,4.87,+48.08%,10.13,209.87,0.648,2023-05-19,205.0,7.15,220.0,2.28,monthly,-41.0
TSLA,185.0,3.4,+51.52%,6.6,190.9,0.619,2023-04-21,187.5,6.55,197.5,3.15,monthly,-41.0
U,29.44,1.58,+46.20%,3.42,31.58,0.602,2023-05-19,30.0,2.84,35.0,1.26,monthly,-41.000000000000014
IBM,128.14,1.73,+40.52%,4.27,130.73,0.643,2023-04-21,129.0,2.4,135.0,0.67,monthly,-41.19999999999996
UAL,41.67,0.7,+25.00%,2.8,43.2,0.6809999999999999,2023-04-21,42.5,0.89,46.0,0.19,monthly,-41.65000000000003
GS,336.92,3.15,+45.99%,6.85,343.15,0.643,2023-04-21,340.0,5.1,350.0,1.95,monthly,-41.99999999999997
NFLX,338.63,3.55,+55.04%,6.45,348.55,0.603,2023-04-21,345.0,11.95,355.0,8.4,monthly,-42.0
