Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,ExpectedValue,KellyCriterion
PLTR,14.01,0.25,+14.29%,1.75,15.25,0.737,2023-06-02,15.0,0.41,17.0,0.16,-0.276,-1.1040000000000003
BABA,81.56,0.36,+13.64%,2.64,85.36,0.7879999999999999,2023-06-02,85.0,0.7,88.0,0.34,-0.2760000000000002,-0.7666666666666674
JNJ,154.74,0.22,+9.65%,2.28,157.72,0.8009999999999999,2023-06-02,157.5,0.3,160.0,0.08,-0.2775000000000001,-1.261363636363637
TSLA,191.96,0.81,+6.93%,11.69,210.81,0.913,2023-06-02,210.0,1.14,222.5,0.33,-0.2775000000000007,-0.342592592592592
DIS,88.77,0.57,+23.46%,2.43,90.57,0.7170000000000001,2023-06-02,90.0,0.75,93.0,0.18,-0.2789999999999998,-0.48947368421052606
HD,289.77,0.38,+17.92%,2.12,295.38,0.736,2023-06-02,295.0,0.99,297.5,0.61,-0.2800000000000001,-0.7368421052631581
COST,500.91,0.2,+1.01%,19.8,530.2,0.976,2023-06-02,530.0,0.35,550.0,0.15,-0.2800000000000004,-1.400000000000002
GOOGL,124.38,0.49,+13.96%,3.51,128.49,0.807,2023-06-02,128.0,0.7,132.0,0.21,-0.2819999999999997,-0.5755102040816323
PYPL,60.06,0.32,+11.94%,2.68,62.32,0.797,2023-06-02,62.0,0.42,65.0,0.1,-0.2889999999999999,-0.9031249999999997
ENPH,164.05,0.45,+9.89%,4.55,175.45,0.852,2023-06-02,175.0,0.91,180.0,0.46,-0.2900000000000001,-0.6444444444444445
TSLA,191.96,1.58,+18.76%,8.42,204.08,0.813,2023-06-02,202.5,2.47,212.5,0.89,-0.2900000000000005,-0.18354430379746867
QCOM,107.66,0.91,+43.54%,2.09,108.91,0.599,2023-06-02,108.0,1.58,111.0,0.67,-0.293,-0.3219780219780219
DIS,88.77,0.33,+12.36%,2.67,91.33,0.792,2023-06-02,91.0,0.45,94.0,0.12,-0.2939999999999998,-0.8909090909090904
ENPH,164.05,1.0,+25.00%,4.0,171.0,0.741,2023-06-02,170.0,1.98,175.0,0.98,-0.295,-0.29500000000000004
XOM,105.26,1.02,+34.23%,2.98,107.02,0.6709999999999999,2023-06-02,106.0,1.22,110.0,0.2,-0.2960000000000002,-0.29019607843137285
TSLA,191.96,2.0,+25.00%,8.0,202.0,0.77,2023-06-02,200.0,3.15,210.0,1.15,-0.2999999999999998,-0.1499999999999999
CVNA,11.31,0.59,+30.89%,1.91,12.09,0.643,2023-06-02,11.5,0.79,14.0,0.2,-0.3025,-0.5127118644067796
WMT,146.3,0.32,+10.06%,3.18,149.32,0.8220000000000001,2023-06-02,149.0,0.38,152.5,0.06,-0.3029999999999998,-0.9468749999999995
AMZN,120.57,1.24,+32.98%,3.76,123.24,0.691,2023-06-02,122.0,1.73,127.0,0.49,-0.3050000000000002,-0.24596774193548396
BABA,81.56,0.33,+8.99%,3.67,86.33,0.841,2023-06-02,86.0,0.53,90.0,0.2,-0.3060000000000001,-0.9272727272727275
RIOT,11.56,0.21,+16.28%,1.29,12.21,0.6559999999999999,2023-06-02,12.0,0.34,13.5,0.13,-0.3060000000000001,-1.457142857142858
PYPL,60.06,0.56,+22.95%,2.44,61.56,0.711,2023-06-02,61.0,0.72,64.0,0.16,-0.3070000000000001,-0.5482142857142858
MARA,9.21,0.22,+17.19%,1.28,9.72,0.647,2023-06-02,9.5,0.32,11.0,0.1,-0.3095,-1.4068181818181815
AMZN,120.57,0.58,+13.12%,4.42,125.58,0.8220000000000001,2023-06-02,125.0,0.82,130.0,0.24,-0.3099999999999996,-0.534482758620689
AMD,126.56,1.21,+43.37%,2.79,129.21,0.62,2023-06-02,128.0,2.82,132.0,1.61,-0.31,-0.256198347107438
COIN,57.59,1.27,+46.52%,2.73,59.27,0.604,2023-06-02,58.0,2.25,62.0,0.98,-0.314,-0.24724409448818904
BABA,81.56,0.27,+5.71%,4.73,87.27,0.883,2023-06-02,87.0,0.39,92.0,0.12,-0.315,-1.1666666666666665
COIN,57.59,0.43,+12.04%,3.57,63.43,0.813,2023-06-02,63.0,0.75,67.0,0.32,-0.3180000000000001,-0.7395348837209307
BABA,81.56,0.26,+3.86%,6.74,88.26,0.917,2023-06-02,88.0,0.32,95.0,0.06,-0.3209999999999998,-1.2346153846153838
MSFT,331.38,1.44,+23.76%,6.06,338.94,0.765,2023-06-02,337.5,2.3,345.0,0.86,-0.3225,-0.22395833333333318
TGT,139.35,0.91,+22.25%,4.09,143.91,0.753,2023-06-02,143.0,1.31,148.0,0.4,-0.3249999999999999,-0.357142857142857
BA,202.89,0.91,+22.25%,4.09,208.41,0.753,2023-06-02,207.5,1.39,212.5,0.48,-0.3249999999999999,-0.357142857142857
GOOGL,124.38,1.36,+37.36%,3.64,126.36,0.6629999999999999,2023-06-02,125.0,1.74,130.0,0.38,-0.3250000000000003,-0.23897058823529438
PYPL,60.06,0.18,+4.71%,3.82,63.18,0.873,2023-06-02,63.0,0.24,67.0,0.06,-0.3279999999999999,-1.8222222222222222
JPM,137.0,0.9,+29.03%,3.1,138.9,0.693,2023-06-02,138.0,1.08,142.0,0.18,-0.3280000000000003,-0.3644444444444446
AMZN,120.57,0.76,+17.92%,4.24,124.76,0.7809999999999999,2023-06-02,124.0,1.06,129.0,0.3,-0.3350000000000004,-0.4407894736842112
JPM,137.0,0.2,+5.26%,3.8,141.2,0.866,2023-06-02,141.0,0.26,145.0,0.06,-0.3359999999999999,-1.68
GOOG,125.16,1.29,+34.77%,3.71,127.29,0.674,2023-06-02,126.0,1.65,131.0,0.36,-0.3399999999999996,-0.263565891472868
NVDA,386.44,0.8,+19.05%,4.2,405.8,0.772,2023-06-02,405.0,4.4,410.0,3.6,-0.3399999999999999,-0.425
AAPL,175.18,0.89,+21.65%,4.11,178.39,0.754,2023-06-02,177.5,1.03,182.5,0.14,-0.3400000000000001,-0.3820224719101124
DIS,88.77,0.21,+5.54%,3.79,92.21,0.862,2023-06-02,92.0,0.27,96.0,0.06,-0.3420000000000001,-1.628571428571429
NKE,108.02,0.48,+19.05%,2.52,110.48,0.725,2023-06-02,110.0,0.66,113.0,0.18,-0.3450000000000001,-0.7187500000000002
GOOG,125.16,0.35,+7.53%,4.65,130.35,0.861,2023-06-02,130.0,0.48,135.0,0.13,-0.3450000000000001,-0.9857142857142862
MARA,9.21,0.15,+8.11%,1.85,10.15,0.752,2023-06-02,10.0,0.21,12.0,0.06,-0.346,-2.306666666666667
MSFT,331.38,0.55,+5.82%,9.45,345.55,0.91,2023-06-02,345.0,0.83,355.0,0.28,-0.3499999999999995,-0.6363636363636355
TGT,139.35,0.54,+12.11%,4.46,145.54,0.8220000000000001,2023-06-02,145.0,0.79,150.0,0.25,-0.3499999999999996,-0.6481481481481475
COIN,57.59,1.05,+35.59%,2.95,60.05,0.65,2023-06-02,59.0,1.83,63.0,0.78,-0.3499999999999998,-0.3333333333333332
AMZN,120.57,0.48,+8.70%,5.52,126.48,0.861,2023-06-02,126.0,0.63,132.0,0.15,-0.354,-0.7375000000000003
TSLA,191.96,1.07,+9.36%,11.43,208.57,0.8859999999999999,2023-06-02,207.5,1.48,220.0,0.41,-0.3550000000000012,-0.33177570093458064
GME,23.26,0.14,+5.93%,2.36,24.64,0.8,2023-06-02,24.5,0.35,27.0,0.21,-0.3599999999999999,-2.5714285714285703
UPST,24.22,0.45,+17.65%,2.55,26.45,0.73,2023-06-02,26.0,0.83,29.0,0.38,-0.36,-0.8
BABA,81.56,0.45,+17.65%,2.55,84.45,0.73,2023-06-02,84.0,0.91,87.0,0.46,-0.36,-0.8
JPM,137.0,1.41,+39.28%,3.59,138.41,0.6459999999999999,2023-06-02,137.0,1.59,142.0,0.18,-0.3600000000000005,-0.25531914893617047
OXY,58.81,0.69,+29.87%,2.31,59.69,0.649,2023-06-02,59.0,0.78,62.0,0.09,-0.3629999999999999,-0.5260869565217391
COIN,57.59,0.86,+27.39%,3.14,60.86,0.6940000000000001,2023-06-02,60.0,1.48,64.0,0.62,-0.3639999999999997,-0.4232558139534881
