Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
SCHW,52.77,0.7,+53.85%,1.3,53.7,0.6,2023-04-28,53.0,1.38,55.0,0.68,weekly,-10.0,-0.142857142857143
MS,89.29,0.35,+53.85%,0.65,90.35,0.589,2023-04-21,90.0,1.52,91.0,1.17,monthly,-6.100000000000005,-0.1742857142857144
PYPL,77.33,0.7,+53.85%,1.3,78.7,0.624,2023-04-28,78.0,1.43,80.0,0.73,weekly,-5.200000000000003,-0.07428571428571436
NFLX,332.72,1.75,+53.85%,3.25,341.75,0.586,2023-04-28,340.0,13.15,345.0,11.4,weekly,-32.000000000000014,-0.18285714285714302
TSLA,187.04,5.25,+53.85%,9.75,192.75,0.6,2023-04-28,187.5,8.65,202.5,3.4,weekly,-75.0,-0.142857142857143
AMZN,102.74,0.35,+53.85%,0.65,104.35,0.564,2023-04-28,104.0,3.4,105.0,3.05,weekly,-8.600000000000005,-0.2457142857142859
XOM,114.7,0.35,+53.85%,0.65,115.35,0.593,2023-04-21,115.0,0.95,116.0,0.6,monthly,-5.700000000000003,-0.16285714285714295
DIS,100.3,0.35,+53.85%,0.65,101.35,0.634,2023-04-21,101.0,0.93,102.0,0.58,monthly,-1.599999999999998,-0.04571428571428568
TSLA,187.04,3.5,+53.85%,6.5,193.5,0.613,2023-04-28,190.0,7.5,200.0,4.0,weekly,-37.00000000000003,-0.1057142857142858
GOOGL,105.97,2.44,+53.51%,4.56,108.44,0.611,2023-04-28,106.0,3.5,113.0,1.06,weekly,-28.299999999999983,-0.11598360655737705
NFLX,332.72,8.7,+53.37%,16.3,343.7,0.604,2023-04-28,335.0,15.4,360.0,6.7,weekly,-120.00000000000011,-0.13793103448275879
CRM,197.08,0.87,+53.37%,1.63,198.37,0.597,2023-04-21,197.5,1.82,200.0,0.95,monthly,-13.750000000000009,-0.15804597701149428
TSM,87.99,1.39,+53.26%,2.61,89.39,0.602,2023-04-21,88.0,2.1,92.0,0.71,monthly,-20.200000000000003,-0.14532374100719442
IBM,127.82,1.73,+52.91%,3.27,129.73,0.609,2023-04-21,128.0,2.63,133.0,0.9,monthly,-22.5,-0.13005780346820814
MS,89.29,0.69,+52.67%,1.31,90.69,0.616,2023-04-21,90.0,1.52,92.0,0.83,monthly,-7.800000000000004,-0.11304347826086963
SHOP,48.52,0.69,+52.67%,1.31,49.69,0.607,2023-04-28,49.0,1.49,51.0,0.8,weekly,-9.600000000000009,-0.13913043478260878
CRWD,137.37,0.69,+52.67%,1.31,138.69,0.588,2023-04-21,138.0,2.09,140.0,1.4,monthly,-13.400000000000006,-0.19420289855072478
MU,62.54,0.69,+52.67%,1.31,63.69,0.617,2023-04-28,63.0,1.33,65.0,0.64,weekly,-7.600000000000001,-0.11014492753623192
NFLX,332.72,3.45,+52.67%,6.55,343.45,0.611,2023-04-21,340.0,11.65,350.0,8.2,monthly,-44.00000000000003,-0.12753623188405805
PINS,28.62,0.69,+52.67%,1.31,29.69,0.611,2023-04-28,29.0,1.31,31.0,0.62,weekly,-8.800000000000004,-0.12753623188405805
NVDA,270.02,0.86,+52.44%,1.64,273.36,0.625,2023-04-21,272.5,3.05,275.0,2.19,monthly,-7.75,-0.09011627906976741
AMZN,102.74,2.06,+52.28%,3.94,105.06,0.5920000000000001,2023-04-28,103.0,3.9,109.0,1.84,weekly,-38.79999999999997,-0.18834951456310656
AMZN,102.74,2.72,+51.52%,5.28,105.72,0.617,2023-04-28,103.0,3.9,111.0,1.18,weekly,-34.39999999999998,-0.12647058823529417
NFLX,332.72,1.7,+51.52%,3.3,341.7,0.594,2023-04-21,340.0,11.65,345.0,9.95,monthly,-33.00000000000003,-0.1941176470588236
NEM,48.47,0.34,+51.52%,0.66,48.84,0.5770000000000001,2023-04-21,48.5,0.72,49.5,0.38,monthly,-8.299999999999994,-0.24411764705882338
META,218.86,1.7,+51.52%,3.3,226.7,0.617,2023-04-28,225.0,7.65,230.0,5.95,weekly,-21.5,-0.12647058823529417
TSLA,187.04,2.55,+51.52%,4.95,192.55,0.622,2023-04-21,190.0,5.6,197.5,3.05,monthly,-28.50000000000003,-0.11176470588235302
TSLA,187.04,1.7,+51.52%,3.3,194.2,0.624,2023-04-28,192.5,6.45,197.5,4.75,weekly,-18.0,-0.10588235294117651
BAC,30.37,0.17,+51.52%,0.33,30.67,0.565,2023-04-21,30.5,0.66,31.0,0.49,monthly,-4.750000000000004,-0.2794117647058825
NFLX,332.72,0.85,+51.52%,1.65,335.85,0.5329999999999999,2023-04-21,335.0,13.85,337.5,13.0,monthly,-31.75000000000001,-0.37352941176470617
SNAP,10.88,0.34,+51.52%,0.66,11.34,0.584,2023-04-28,11.0,0.79,12.0,0.45,weekly,-7.600000000000005,-0.22352941176470603
ROKU,64.47,0.34,+51.52%,0.66,65.34,0.575,2023-04-21,65.0,1.57,66.0,1.23,monthly,-8.500000000000007,-0.2500000000000001
PYPL,77.33,0.17,+51.52%,0.33,77.67,0.5529999999999999,2023-04-21,77.5,0.95,78.0,0.78,monthly,-5.350000000000001,-0.3147058823529414
U,29.99,0.34,+51.52%,0.66,30.34,0.563,2023-04-21,30.0,0.83,31.0,0.49,monthly,-9.700000000000005,-0.28529411764705903
TSLA,187.04,0.85,+51.52%,1.65,193.35,0.61,2023-04-28,192.5,6.45,195.0,5.6,weekly,-12.500000000000009,-0.14705882352941185
HAL,33.44,0.17,+51.52%,0.33,33.67,0.5670000000000001,2023-04-21,33.5,0.5,34.0,0.33,monthly,-4.649999999999997,-0.2735294117647057
WMT,149.52,0.85,+51.52%,1.65,150.85,0.6459999999999999,2023-04-28,150.0,1.25,152.5,0.4,weekly,-3.5000000000000284,-0.04117647058823556
NVDA,270.02,0.85,+51.52%,1.65,275.85,0.624,2023-04-28,275.0,5.15,277.5,4.3,weekly,-9.0,-0.10588235294117651
JPM,139.83,0.68,+51.52%,1.32,140.68,0.624,2023-04-21,140.0,1.02,142.0,0.34,monthly,-7.199999999999996,-0.10588235294117651
NCLH,12.95,0.17,+51.52%,0.33,13.17,0.58,2023-04-28,13.0,0.39,13.5,0.22,weekly,-4.000000000000002,-0.23529411764705893
MS,89.29,0.85,+51.52%,1.65,90.85,0.629,2023-04-21,90.0,1.52,92.5,0.67,monthly,-7.749999999999993,-0.09117647058823534
PLUG,9.5,0.17,+51.52%,0.33,9.67,0.589,2023-04-21,9.5,0.28,10.0,0.11,monthly,-3.5500000000000007,-0.20882352941176488
BAC,30.37,0.34,+51.52%,0.66,30.84,0.602,2023-04-21,30.5,0.66,31.5,0.32,monthly,-5.800000000000001,-0.1705882352941178
NFLX,332.72,5.1,+51.52%,9.9,345.1,0.617,2023-04-28,340.0,13.15,355.0,8.05,weekly,-64.50000000000006,-0.12647058823529417
GOOGL,105.97,1.69,+51.06%,3.31,108.69,0.622,2023-04-28,107.0,3.0,112.0,1.31,weekly,-20.0,-0.1183431952662723
COST,493.94,3.37,+50.83%,6.63,498.37,0.618,2023-04-28,495.0,5.25,505.0,1.88,weekly,-45.0,-0.13353115727002976
TSM,87.99,0.67,+50.38%,1.33,89.67,0.621,2023-04-21,89.0,1.66,91.0,0.99,monthly,-8.800000000000004,-0.13134328358208955
PYPL,77.33,0.5,+50.00%,1.0,78.0,0.603,2023-04-21,77.5,0.95,79.0,0.45,monthly,-9.550000000000004,-0.19100000000000006
MS,89.29,1.0,+50.00%,2.0,91.0,0.6409999999999999,2023-04-21,90.0,1.52,93.0,0.52,monthly,-7.700000000000031,-0.07700000000000029
CRWD,137.37,1.0,+50.00%,2.0,139.0,0.608,2023-04-21,138.0,2.09,141.0,1.09,monthly,-17.60000000000001,-0.17600000000000005
AMZN,102.74,1.0,+50.00%,2.0,105.0,0.59,2023-04-28,104.0,3.4,107.0,2.4,weekly,-23.0,-0.2300000000000001
TSLA,187.04,5.82,+49.83%,11.68,193.32,0.61,2023-04-28,187.5,8.65,205.0,2.83,weekly,-100.50000000000006,-0.172680412371134
META,218.86,6.65,+49.81%,13.35,226.65,0.616,2023-04-28,220.0,9.9,240.0,3.25,weekly,-103.0,-0.15488721804511277
