Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
SNOW,159.9,1.35,+36.99%,3.65,153.65,0.68,2023-05-19,155.0,3.35,150.0,2.0,monthly,-0.2499999999999995,-0.18518518518518487
PYPL,75.82,1.44,+40.45%,3.56,72.56,0.662,2023-05-19,74.0,2.25,69.0,0.81,monthly,-0.2499999999999999,-0.173611111111111
COIN,57.22,1.82,+57.23%,3.18,55.18,0.586,2023-05-19,57.0,3.65,52.0,1.83,monthly,-0.2500000000000002,-0.13736263736263743
AMD,94.23,0.43,+16.73%,2.57,90.57,0.773,2023-05-12,91.0,0.66,88.0,0.23,weekly,-0.2509999999999999,-0.5837209302325579
SHOP,64.74,0.48,+13.64%,3.52,59.52,0.8170000000000001,2023-05-19,60.0,0.73,56.0,0.25,monthly,-0.2519999999999998,-0.5249999999999997
DIS,103.58,1.75,+41.18%,4.25,100.25,0.6659999999999999,2023-05-12,102.0,2.39,96.0,0.64,weekly,-0.2540000000000004,-0.14514285714285743
CVX,160.56,0.7,+38.89%,1.8,159.3,0.618,2023-05-12,160.0,1.41,157.5,0.71,weekly,-0.255,-0.3642857142857145
COIN,57.22,1.17,+35.14%,3.33,52.83,0.6829999999999999,2023-05-19,54.0,2.41,49.5,1.24,monthly,-0.2565000000000003,-0.21923076923076953
AMD,94.23,0.59,+24.48%,2.41,91.41,0.7170000000000001,2023-05-12,92.0,0.92,89.0,0.33,weekly,-0.2589999999999998,-0.43898305084745737
TSLA,171.98,1.48,+42.05%,3.52,168.52,0.652,2023-05-12,170.0,2.67,165.0,1.19,weekly,-0.2599999999999998,-0.17567567567567552
AMD,94.23,0.56,+16.28%,3.44,88.44,0.794,2023-05-19,89.0,0.91,85.0,0.35,monthly,-0.2639999999999997,-0.47142857142857103
AMD,94.23,0.86,+27.39%,3.14,90.14,0.7170000000000001,2023-05-19,91.0,1.43,87.0,0.57,monthly,-0.2719999999999997,-0.31627906976744147
COIN,57.22,0.73,+22.32%,3.27,53.27,0.7490000000000001,2023-05-12,54.0,1.17,50.0,0.44,weekly,-0.2739999999999996,-0.375342465753424
TSLA,171.98,1.05,+26.58%,3.95,166.45,0.735,2023-05-12,167.5,1.8,162.5,0.75,weekly,-0.275,-0.2619047619047621
AMD,94.23,0.24,+6.38%,3.76,88.76,0.871,2023-05-12,89.0,0.32,85.0,0.08,weekly,-0.2759999999999999,-1.1500000000000001
PYPL,75.82,1.84,+44.23%,4.16,73.16,0.647,2023-05-12,75.0,2.4,69.0,0.56,weekly,-0.278,-0.1510869565217391
ZS,109.1,0.61,+13.90%,4.39,99.39,0.8220000000000001,2023-05-19,100.0,1.25,95.0,0.64,monthly,-0.2799999999999997,-0.4590163934426224
NVDA,288.52,0.76,+17.92%,4.24,279.24,0.792,2023-05-12,280.0,1.51,275.0,0.75,weekly,-0.2799999999999999,-0.36842105263157876
COIN,57.22,1.45,+40.85%,3.55,53.55,0.654,2023-05-19,55.0,2.78,50.0,1.33,monthly,-0.2799999999999999,-0.19310344827586196
TSLA,171.98,1.4,+38.89%,3.6,166.1,0.664,2023-05-19,167.5,3.65,162.5,2.25,monthly,-0.28,-0.20000000000000004
AMD,94.23,0.69,+20.85%,3.31,89.31,0.7559999999999999,2023-05-19,90.0,1.14,86.0,0.45,monthly,-0.2860000000000005,-0.41449275362318916
SHOP,64.74,0.62,+18.34%,3.38,60.38,0.773,2023-05-19,61.0,0.95,57.0,0.33,monthly,-0.2879999999999999,-0.46451612903225803
NFLX,330.59,0.8,+19.05%,4.2,321.7,0.782,2023-05-12,322.5,1.69,317.5,0.89,weekly,-0.2899999999999999,-0.3624999999999999
COIN,57.22,0.51,+11.36%,4.49,51.49,0.8390000000000001,2023-05-12,52.0,0.72,47.0,0.21,weekly,-0.2949999999999996,-0.5784313725490189
AMD,94.23,0.39,+8.46%,4.61,86.61,0.863,2023-05-19,87.0,0.56,82.0,0.17,monthly,-0.2950000000000001,-0.7564102564102566
NVDA,288.52,1.65,+49.25%,3.35,283.35,0.61,2023-05-19,285.0,5.5,280.0,3.85,monthly,-0.3,-0.1818181818181819
ABNB,126.53,1.12,+19.05%,5.88,115.88,0.797,2023-05-12,117.0,1.75,110.0,0.63,weekly,-0.3009999999999997,-0.2687499999999996
COIN,57.22,1.26,+33.69%,3.74,52.74,0.687,2023-05-19,54.0,2.41,49.0,1.15,monthly,-0.3049999999999997,-0.24206349206349198
PYPL,75.82,1.88,+45.63%,4.12,73.12,0.635,2023-05-19,75.0,2.69,69.0,0.81,monthly,-0.31,-0.16489361702127667
NVDA,288.52,1.72,+52.44%,3.28,285.78,0.594,2023-05-12,287.5,3.85,282.5,2.13,weekly,-0.31,-0.18023255813953493
SHOP,64.74,0.33,+8.99%,3.67,60.67,0.8390000000000001,2023-05-12,61.0,0.44,57.0,0.11,weekly,-0.3139999999999996,-0.9515151515151503
NVDA,288.52,1.03,+25.94%,3.97,281.47,0.731,2023-05-12,282.5,2.11,277.5,1.08,weekly,-0.315,-0.30582524271844663
HZNP,110.88,0.3,+6.38%,4.7,99.7,0.877,2023-05-19,100.0,1.75,95.0,1.45,monthly,-0.315,-1.05
SHOP,64.74,0.78,+24.22%,3.22,61.22,0.726,2023-05-19,62.0,1.22,58.0,0.44,monthly,-0.3160000000000001,-0.40512820512820524
NVDA,288.52,1.36,+37.36%,3.64,283.64,0.664,2023-05-12,285.0,2.89,280.0,1.53,weekly,-0.3199999999999998,-0.23529411764705865
NFLX,330.59,1.9,+61.29%,3.1,328.1,0.555,2023-05-19,330.0,6.55,325.0,4.65,monthly,-0.3249999999999999,-0.17105263157894735
DIS,103.58,2.2,+45.83%,4.8,100.8,0.639,2023-05-12,103.0,2.84,96.0,0.64,weekly,-0.3269999999999997,-0.14863636363636348
WAL,27.61,0.55,+28.21%,1.95,24.45,0.648,2023-05-19,25.0,2.6,22.5,2.05,monthly,-0.3299999999999998,-0.5999999999999996
NFLX,330.59,1.18,+30.89%,3.82,321.32,0.698,2023-05-19,322.5,3.8,317.5,2.62,monthly,-0.3300000000000003,-0.27966101694915274
DIS,103.58,1.97,+48.88%,4.03,101.03,0.616,2023-05-19,103.0,3.1,97.0,1.13,monthly,-0.3340000000000003,-0.16954314720812194
NVDA,288.52,1.85,+58.73%,3.15,285.65,0.562,2023-05-19,287.5,6.5,282.5,4.65,monthly,-0.3399999999999996,-0.1837837837837836
NFLX,330.59,1.4,+38.89%,3.6,323.6,0.652,2023-05-19,325.0,4.6,320.0,3.2,monthly,-0.3399999999999999,-0.24285714285714288
AMD,94.23,0.35,+9.59%,3.65,89.65,0.8270000000000001,2023-05-12,90.0,0.46,86.0,0.11,weekly,-0.3419999999999997,-0.9771428571428565
IMGN,13.44,0.35,+21.21%,1.65,12.65,0.654,2023-05-19,13.0,0.55,11.0,0.2,monthly,-0.3419999999999999,-0.977142857142857
NFLX,330.59,1.06,+26.90%,3.94,323.94,0.7190000000000001,2023-05-12,325.0,2.31,320.0,1.25,weekly,-0.3449999999999994,-0.32547169811320703
AMD,94.23,0.5,+11.11%,4.5,87.5,0.831,2023-05-19,88.0,0.72,83.0,0.22,monthly,-0.3450000000000002,-0.6900000000000005
COIN,57.22,1.54,+38.89%,3.96,53.46,0.657,2023-05-19,55.0,2.78,49.5,1.24,monthly,-0.3464999999999998,-0.22499999999999992
COIN,57.22,1.87,+45.28%,4.13,54.13,0.63,2023-05-19,56.0,3.2,50.0,1.33,monthly,-0.3499999999999998,-0.18716577540106935
ENPH,161.1,1.75,+53.85%,3.25,158.25,0.58,2023-05-19,160.0,4.9,155.0,3.15,monthly,-0.3500000000000003,-0.20000000000000012
SHOP,64.74,0.54,+12.11%,4.46,59.46,0.82,2023-05-19,60.0,0.73,55.0,0.19,monthly,-0.3600000000000001,-0.6666666666666671
GOOGL,107.06,1.25,+45.45%,2.75,105.75,0.597,2023-05-19,107.0,1.99,103.0,0.74,monthly,-0.362,-0.2896000000000001
AAPL,173.55,0.48,+10.62%,4.52,169.52,0.831,2023-05-12,170.0,0.6,165.0,0.12,weekly,-0.3650000000000001,-0.7604166666666669
COIN,57.22,1.55,+44.93%,3.45,55.45,0.616,2023-05-12,57.0,2.28,52.0,0.73,weekly,-0.3700000000000002,-0.23870967741935487
NVDA,288.52,1.35,+36.99%,3.65,281.15,0.6559999999999999,2023-05-19,282.5,4.55,277.5,3.2,monthly,-0.3700000000000003,-0.27407407407407425
SHOP,64.74,0.49,+13.96%,3.51,61.51,0.7829999999999999,2023-05-12,62.0,0.64,58.0,0.15,weekly,-0.3780000000000003,-0.7714285714285722
AMD,94.23,0.26,+5.49%,4.74,88.74,0.872,2023-05-12,89.0,0.32,84.0,0.06,weekly,-0.38,-1.4615384615384617
AAPL,173.55,0.83,+19.90%,4.17,169.17,0.758,2023-05-19,170.0,1.29,165.0,0.46,monthly,-0.38,-0.45783132530120496
PANW,190.6,0.48,+10.62%,4.52,184.52,0.828,2023-05-12,185.0,0.77,180.0,0.29,weekly,-0.3800000000000001,-0.7916666666666669
ZS,109.1,1.18,+30.89%,3.82,103.82,0.688,2023-05-19,105.0,2.56,100.0,1.38,monthly,-0.3800000000000003,-0.322033898305085
GOOGL,107.06,1.14,+39.86%,2.86,105.86,0.619,2023-05-12,107.0,1.49,103.0,0.35,weekly,-0.3840000000000001,-0.3368421052631579
AMD,94.23,0.63,+14.42%,4.37,88.37,0.797,2023-05-19,89.0,0.91,84.0,0.28,monthly,-0.3849999999999998,-0.6111111111111107
AMD,94.23,0.43,+7.72%,5.57,86.57,0.8640000000000001,2023-05-19,87.0,0.56,81.0,0.13,monthly,-0.3859999999999995,-0.8976744186046498
AMD,94.23,0.5,+14.29%,3.5,90.5,0.778,2023-05-12,91.0,0.66,87.0,0.16,weekly,-0.3879999999999999,-0.7759999999999999
CRM,197.75,1.7,+51.52%,3.3,195.8,0.581,2023-05-19,197.5,3.55,192.5,1.85,monthly,-0.3950000000000001,-0.23235294117647068
ABNB,126.53,1.37,+20.66%,6.63,116.63,0.779,2023-05-12,118.0,2.0,110.0,0.63,weekly,-0.3979999999999997,-0.29051094890510926
ABNB,126.53,1.7,+26.98%,6.3,118.3,0.737,2023-05-12,120.0,2.58,112.0,0.88,weekly,-0.4040000000000001,-0.2376470588235295
COIN,57.22,1.63,+37.30%,4.37,53.37,0.6609999999999999,2023-05-19,55.0,2.78,49.0,1.15,monthly,-0.4040000000000006,-0.2478527607361967
AMD,94.23,0.98,+24.38%,4.02,90.02,0.723,2023-05-19,91.0,1.43,86.0,0.45,monthly,-0.405,-0.413265306122449
COIN,57.22,1.28,+34.41%,3.72,54.72,0.6629999999999999,2023-05-12,56.0,1.85,51.0,0.57,weekly,-0.4050000000000003,-0.3164062500000004
