Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,ExpectedValue,KellyCriterion
ABNB,118.18,0.28,+16.28%,1.72,114.72,0.789,2023-06-09,115.0,0.55,113.0,0.27,-0.1419999999999998,-0.5071428571428568
NVDA,386.64,0.24,+10.62%,2.26,372.26,0.847,2023-06-09,372.5,0.97,370.0,0.73,-0.1425,-0.5937500000000001
CRM,212.85,0.88,+54.32%,1.62,211.62,0.59,2023-06-09,212.5,1.88,210.0,1.0,-0.1450000000000001,-0.1647727272727274
AI,37.88,0.15,+11.11%,1.35,34.35,0.8009999999999999,2023-06-09,34.5,0.35,33.0,0.2,-0.1485000000000001,-0.9900000000000008
COIN,51.15,0.31,+26.05%,1.19,48.19,0.6920000000000001,2023-06-09,48.5,1.32,47.0,1.01,-0.1519999999999998,-0.4903225806451609
UPST,30.59,0.33,+28.21%,1.17,29.17,0.675,2023-06-09,29.5,0.52,28.0,0.19,-0.1574999999999999,-0.47727272727272685
SNOW,182.28,0.74,+42.05%,1.76,179.26,0.6409999999999999,2023-06-09,180.0,2.03,177.5,1.29,-0.1575000000000002,-0.21283783783783808
GOOG,128.45,0.56,+38.89%,1.44,127.44,0.6409999999999999,2023-06-09,128.0,0.87,126.0,0.31,-0.158,-0.2821428571428573
AMD,123.43,0.21,+11.73%,1.79,118.79,0.816,2023-06-09,119.0,0.41,117.0,0.2,-0.1580000000000001,-0.752380952380953
AMD,123.43,0.31,+18.34%,1.69,119.69,0.765,2023-06-09,120.0,0.6,118.0,0.29,-0.1599999999999999,-0.5161290322580645
NVDA,386.64,0.46,+22.55%,2.04,377.04,0.7509999999999999,2023-06-09,377.5,1.8,375.0,1.34,-0.1625000000000002,-0.35326086956521796
AMZN,126.62,0.56,+38.89%,1.44,125.44,0.638,2023-06-09,126.0,0.93,124.0,0.37,-0.1639999999999999,-0.2928571428571427
TGT,132.49,0.6,+42.86%,1.4,131.4,0.618,2023-06-09,132.0,1.17,130.0,0.57,-0.1639999999999999,-0.2733333333333334
SHOP,63.71,0.18,+9.89%,1.82,60.82,0.826,2023-06-09,61.0,0.27,59.0,0.09,-0.1680000000000001,-0.9333333333333339
NVDA,386.64,0.74,+42.05%,1.76,381.76,0.634,2023-06-09,382.5,3.15,380.0,2.41,-0.1749999999999999,-0.23648648648648646
TSLA,220.42,1.52,+43.68%,3.48,215.98,0.6609999999999999,2023-06-09,217.5,2.83,212.5,1.31,-0.1750000000000005,-0.11513157894736863
UPST,30.59,0.54,+36.99%,1.46,29.46,0.64,2023-06-09,30.0,0.73,28.0,0.19,-0.1799999999999999,-0.3333333333333332
GOOG,128.45,0.34,+20.48%,1.66,126.66,0.7390000000000001,2023-06-09,127.0,0.52,125.0,0.18,-0.1819999999999997,-0.535294117647058
SQ,65.85,0.28,+16.28%,1.72,63.72,0.7659999999999999,2023-06-09,64.0,0.44,62.0,0.16,-0.1880000000000001,-0.671428571428572
AMD,123.43,0.99,+49.25%,2.01,122.01,0.607,2023-06-09,123.0,1.6,120.0,0.61,-0.1889999999999999,-0.19090909090909094
ABNB,118.18,0.98,+48.51%,2.02,117.02,0.605,2023-06-09,118.0,1.59,115.0,0.61,-0.205,-0.20918367346938782
AI,37.88,0.25,+14.29%,1.75,34.75,0.772,2023-06-09,35.0,0.45,33.0,0.2,-0.2059999999999999,-0.824
AMD,123.43,0.77,+34.53%,2.23,121.23,0.664,2023-06-09,122.0,1.19,119.0,0.42,-0.2379999999999998,-0.3090909090909089
DIS,92.13,0.52,+35.14%,1.48,91.48,0.621,2023-06-09,92.0,0.69,90.0,0.17,-0.238,-0.4576923076923077
ABNB,118.18,0.37,+14.07%,2.63,114.63,0.795,2023-06-09,115.0,0.55,112.0,0.18,-0.2449999999999998,-0.6621621621621617
AI,37.88,0.15,+8.11%,1.85,34.35,0.8009999999999999,2023-06-09,34.5,0.35,32.5,0.2,-0.2480000000000001,-1.6533333333333344
MS,86.01,0.21,+11.73%,1.79,84.79,0.7709999999999999,2023-06-09,85.0,0.27,83.0,0.06,-0.2480000000000002,-1.1809523809523823
AI,37.88,0.35,+21.21%,1.65,35.65,0.7,2023-06-09,36.0,0.7,34.0,0.35,-0.2500000000000001,-0.7142857142857145
COIN,51.15,0.49,+24.38%,2.01,48.01,0.703,2023-06-09,48.5,1.32,46.0,0.83,-0.2525,-0.5153061224489797
DIS,92.13,0.25,+14.29%,1.75,90.75,0.7440000000000001,2023-06-09,91.0,0.34,89.0,0.09,-0.2619999999999998,-1.0479999999999994
TSLA,220.42,1.09,+27.88%,3.91,213.91,0.7290000000000001,2023-06-09,215.0,1.95,210.0,0.86,-0.2649999999999995,-0.24311926605504536
TSLA,220.42,2.64,+54.32%,4.86,217.36,0.612,2023-06-09,220.0,3.95,212.5,1.31,-0.2700000000000002,-0.10227272727272732
AMD,123.43,0.57,+23.46%,2.43,120.43,0.7190000000000001,2023-06-09,121.0,0.86,118.0,0.29,-0.2729999999999998,-0.4789473684210524
DOCU,58.99,2.1,+35.59%,5.9,53.9,0.703,2023-06-09,56.0,2.44,48.0,0.34,-0.2760000000000004,-0.13142857142857153
PANW,226.03,0.68,+37.36%,1.82,224.32,0.617,2023-06-09,225.0,1.48,222.5,0.8,-0.2774999999999999,-0.4080882352941177
AMD,123.43,0.4,+15.38%,2.6,119.6,0.7709999999999999,2023-06-09,120.0,0.6,117.0,0.2,-0.2870000000000002,-0.7175000000000006
SHOP,63.71,0.21,+7.53%,2.79,60.79,0.828,2023-06-09,61.0,0.27,58.0,0.06,-0.3060000000000001,-1.4571428571428577
ABNB,118.18,1.18,+41.84%,2.82,116.82,0.623,2023-06-09,118.0,1.59,114.0,0.41,-0.328,-0.27796610169491526
AMD,123.43,1.18,+41.84%,2.82,121.82,0.621,2023-06-09,123.0,1.6,119.0,0.42,-0.3359999999999998,-0.2847457627118644
GOOG,128.45,0.69,+29.87%,2.31,127.31,0.6579999999999999,2023-06-09,128.0,0.87,125.0,0.18,-0.3360000000000002,-0.4869565217391308
UPST,30.59,0.43,+20.77%,2.07,29.07,0.687,2023-06-09,29.5,0.52,27.0,0.09,-0.3524999999999998,-0.8197674418604647
AI,37.88,0.5,+20.00%,2.5,35.5,0.7120000000000001,2023-06-09,36.0,0.7,33.0,0.2,-0.3639999999999997,-0.7279999999999994
DOCU,58.99,3.01,+43.06%,6.99,54.99,0.6609999999999999,2023-06-09,58.0,3.35,48.0,0.34,-0.380000000000001,-0.12624584717608
AI,37.88,0.2,+7.14%,2.8,34.3,0.804,2023-06-09,34.5,0.35,31.5,0.15,-0.3879999999999998,-1.9399999999999988
UPST,30.59,0.64,+27.12%,2.36,29.36,0.652,2023-06-09,30.0,0.73,27.0,0.09,-0.4039999999999998,-0.6312499999999999
AMD,123.43,0.9,+29.03%,3.1,121.1,0.6729999999999999,2023-06-09,122.0,1.19,118.0,0.29,-0.4080000000000003,-0.45333333333333353
AMD,123.43,0.66,+19.76%,3.34,120.34,0.725,2023-06-09,121.0,0.86,117.0,0.2,-0.44,-0.6666666666666666
AMD,123.43,0.46,+12.99%,3.54,119.54,0.774,2023-06-09,120.0,0.6,116.0,0.14,-0.4439999999999999,-0.9652173913043476
TSLA,220.42,1.97,+35.62%,5.53,215.53,0.6759999999999999,2023-06-09,217.5,2.83,210.0,0.86,-0.4600000000000006,-0.23350253807106627
CRM,212.85,1.38,+38.12%,3.62,211.12,0.626,2023-06-09,212.5,1.88,207.5,0.5,-0.49,-0.355072463768116
DIS,92.13,0.6,+25.00%,2.4,91.4,0.635,2023-06-09,92.0,0.69,89.0,0.09,-0.495,-0.825
ABNB,118.18,1.32,+35.87%,3.68,116.68,0.635,2023-06-09,118.0,1.59,113.0,0.27,-0.5049999999999999,-0.38257575757575757
AMD,123.43,1.31,+35.50%,3.69,121.69,0.631,2023-06-09,123.0,1.6,118.0,0.29,-0.5349999999999999,-0.40839694656488534
GOOG,128.45,0.77,+23.84%,3.23,127.23,0.6679999999999999,2023-06-09,128.0,0.87,124.0,0.1,-0.5580000000000003,-0.724675324675325
AMD,123.43,0.99,+24.69%,4.01,121.01,0.679,2023-06-09,122.0,1.19,117.0,0.2,-0.6149999999999997,-0.621212121212121
AMD,123.43,0.5,+11.11%,4.5,119.5,0.777,2023-06-09,120.0,0.6,115.0,0.1,-0.6149999999999998,-1.23
TSLA,220.42,3.09,+44.72%,6.91,216.91,0.628,2023-06-09,220.0,3.95,210.0,0.86,-0.6300000000000001,-0.20388349514563112
AMD,123.43,0.72,+16.82%,4.28,120.28,0.728,2023-06-09,121.0,0.86,116.0,0.14,-0.6400000000000001,-0.8888888888888891
NVDA,386.64,1.81,+31.81%,5.69,380.69,0.662,2023-06-09,382.5,3.15,375.0,1.34,-0.7249999999999999,-0.4005524861878452
ABNB,118.18,1.41,+30.72%,4.59,116.59,0.643,2023-06-09,118.0,1.59,112.0,0.18,-0.7319999999999999,-0.5191489361702126
AMD,123.43,1.4,+30.43%,4.6,121.6,0.637,2023-06-09,123.0,1.6,117.0,0.2,-0.7779999999999998,-0.5557142857142856
