Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,ExpectedValue
AXP,163.22,2.14,+39.93%,5.36,160.36,0.627,2023-04-21,162.5,3.1,155.0,0.96,-65.75
CVX,172.44,0.55,+12.36%,4.45,169.45,0.758,2023-04-21,170.0,0.74,165.0,0.19,-66.0
ENPH,208.9,4.9,+48.51%,10.1,195.1,0.629,2023-05-19,200.0,12.45,185.0,7.55,-66.49999999999994
LULU,368.25,1.06,+26.90%,3.94,363.94,0.654,2023-04-21,365.0,2.76,360.0,1.7,-66.99999999999999
CRWD,135.77,3.38,+51.06%,6.62,131.62,0.594,2023-05-19,135.0,6.35,125.0,2.97,-68.0
ADBE,379.38,0.54,+4.52%,11.96,364.46,0.9009999999999999,2023-04-21,365.0,0.76,352.5,0.22,-69.75000000000011
MCD,288.98,1.16,+30.21%,3.84,283.84,0.628,2023-05-19,285.0,4.0,280.0,2.84,-70.00000000000003
JPM,138.73,0.31,+4.63%,6.69,134.69,0.852,2023-04-21,135.0,0.38,128.0,0.07,-72.60000000000002
SE,83.52,2.68,+36.61%,7.32,77.32,0.6579999999999999,2023-05-19,80.0,4.45,70.0,1.77,-74.00000000000009
GS,336.92,1.36,+15.74%,8.64,323.64,0.789,2023-04-21,325.0,2.38,315.0,1.02,-74.99999999999997
STT,80.03,1.25,+33.33%,3.75,78.75,0.598,2023-04-21,80.0,1.8,75.0,0.55,-76.0
XOM,116.05,0.49,+8.89%,5.51,113.51,0.79,2023-04-21,114.0,0.55,108.0,0.06,-76.99999999999997
UNH,511.79,1.4,+16.28%,8.6,488.6,0.78,2023-05-19,490.0,4.95,480.0,3.55,-79.99999999999999
JPM,138.73,0.64,+6.84%,9.36,129.36,0.852,2023-05-19,130.0,0.88,120.0,0.24,-84.00000000000003
JPM,138.73,0.32,+4.17%,7.68,134.68,0.853,2023-04-21,135.0,0.38,127.0,0.06,-85.60000000000002
JNJ,165.84,0.87,+21.07%,4.13,164.13,0.652,2023-04-21,165.0,1.27,160.0,0.4,-86.99999999999999
GS,336.92,2.05,+25.79%,7.95,327.95,0.705,2023-04-21,330.0,3.7,320.0,1.65,-90.00000000000006
BA,201.71,2.35,+30.72%,7.65,192.65,0.67,2023-05-19,195.0,5.3,185.0,2.95,-94.99999999999994
NFLX,338.63,6.65,+49.81%,13.35,323.35,0.619,2023-05-19,330.0,15.8,310.0,9.15,-97.0
GE,95.44,0.46,+8.30%,5.54,93.54,0.76,2023-04-21,94.0,0.52,88.0,0.06,-98.0
ENPH,208.9,2.29,+29.70%,7.71,202.71,0.672,2023-04-21,205.0,3.7,195.0,1.41,-98.99999999999997
OKTA,74.3,0.67,+10.58%,6.33,71.33,0.76,2023-04-21,72.0,0.79,65.0,0.12,-100.99999999999999
PANW,199.44,1.26,+20.19%,6.24,196.24,0.691,2023-04-21,197.5,1.65,190.0,0.39,-105.75000000000004
AAPL,165.21,2.87,+40.25%,7.13,162.13,0.596,2023-05-19,165.0,4.85,155.0,1.98,-117.00000000000003
ENPH,208.9,2.68,+27.29%,9.82,202.32,0.682,2023-04-21,205.0,3.7,192.5,1.02,-129.49999999999994
CRWD,135.77,2.05,+25.79%,7.95,132.95,0.659,2023-04-21,135.0,2.31,125.0,0.26,-135.99999999999997
JPM,138.73,1.45,+16.96%,8.55,133.55,0.715,2023-05-19,135.0,1.91,125.0,0.46,-140.00000000000006
LLY,374.73,1.32,+15.21%,8.68,368.68,0.723,2023-04-21,370.0,2.14,360.0,0.82,-145.0
JNJ,165.84,1.02,+15.74%,6.48,163.98,0.665,2023-04-21,165.0,1.27,157.5,0.25,-149.25
GE,95.44,0.76,+12.18%,6.24,94.24,0.672,2023-04-21,95.0,0.82,88.0,0.06,-153.59999999999997
GS,336.92,2.68,+21.75%,12.32,327.32,0.718,2023-04-21,330.0,3.7,315.0,1.02,-155.00000000000006
GS,336.92,3.9,+35.14%,11.1,331.1,0.636,2023-04-21,335.0,5.55,320.0,1.65,-155.99999999999997
NFLX,338.63,9.15,+43.88%,20.85,320.85,0.638,2023-05-19,330.0,15.8,300.0,6.65,-171.0
ENPH,208.9,2.94,+24.38%,12.06,202.06,0.6890000000000001,2023-04-21,205.0,3.7,190.0,0.76,-172.4999999999999
LOW,202.18,3.38,+29.09%,11.62,196.62,0.649,2023-05-19,200.0,4.9,185.0,1.52,-188.49999999999997
ADBE,379.38,1.25,+7.69%,16.25,368.75,0.8190000000000001,2023-04-21,370.0,1.47,352.5,0.22,-191.7499999999999
AAPL,165.21,3.65,+32.16%,11.35,161.35,0.62,2023-05-19,165.0,4.85,150.0,1.2,-205.0
JPM,138.73,1.67,+12.53%,13.33,133.33,0.723,2023-05-19,135.0,1.91,120.0,0.24,-248.50000000000006
HZNP,111.6,0.5,+5.26%,9.5,109.5,0.649,2023-05-19,110.0,1.2,100.0,0.7,-301.0
JPM,138.73,1.76,+9.65%,18.24,133.24,0.727,2023-05-19,135.0,1.91,115.0,0.15,-370.0
JPM,138.73,1.81,+7.81%,23.19,133.19,0.7290000000000001,2023-05-19,135.0,1.91,110.0,0.1,-496.49999999999983
JPM,138.73,1.84,+6.53%,28.16,133.16,0.73,2023-05-19,135.0,1.91,105.0,0.07,-626.0
Downloaded from Barchart.com as of 04-16-2023 07:48pm CDT,,,,,,,,,,,,
